Sample	posterior	ESS(posterior)	likelihood	prior
0	-10349.870168357915	N	-10344.19813237021	-5.672035987705374
1000	-6631.545739102236	2.0	-6631.074026661471	-0.4717124407650899
2000	-6635.4030871743025	3.0	-6633.304883647944	-2.0982035263589793
3000	-6595.940439099001	4.0	-6595.086818403427	-0.8536206955742547
4000	-6598.241744563297	5.0	-6596.148725649307	-2.0930189139901563
5000	-6596.780908202345	6.0	-6597.3293219861935	0.5484137838485421
6000	-6594.261948162111	7.0	-6596.175359759425	1.9134115973140104
7000	-6591.606042337343	8.0	-6593.957927113383	2.3518847760407278
8000	-6588.62262137511	9.0	-6589.971726526255	1.3491051511456167
9000	-6590.591206862524	4.1	-6593.01933446347	2.428127600946092
10000	-6588.999358948969	4.3	-6590.417338580578	1.4179796316096356
11000	-6590.709267944857	4.5	-6594.21631300501	3.507045060153771
12000	-6588.61650404034	4.5	-6591.534420742139	2.9179167017990193
13000	-6586.575562101945	4.6	-6590.404029528941	3.828467426995251
14000	-6587.742962764747	4.8	-6591.049723357316	3.306760592568837
15000	-6590.498525252494	5.0	-6593.641040536356	3.1425152838622847
16000	-6587.33985683664	5.1	-6590.529898999494	3.190042162854576
17000	-6588.58385457031	5.4	-6591.107687976256	2.5238334059460485
18000	-6591.236068538904	5.6	-6591.497499545395	0.26143100649122464
19000	-6589.61986052502	7.6	-6590.785825145535	1.165964620514681
20000	-6593.716774500835	8.0	-6592.285699046589	-1.4310754542455622
21000	-6595.320995350152	8.5	-6596.419995860508	1.0990005103560483
22000	-6590.444203734356	9.1	-6590.100985229438	-0.34321850491782624
23000	-6590.3635567314	9.6	-6591.893073008018	1.529516276617682
24000	-6592.239473991968	10.1	-6594.46138273895	2.221908746982386
25000	-6591.304002045832	10.6	-6591.709948254424	0.40594620859129005
26000	-6591.547345446353	11.1	-6592.78101547611	1.2336700297573282
27000	-6589.1871916067985	11.6	-6591.597687261423	2.4104956546245764
28000	-6588.842843638368	12.1	-6589.638067528309	0.7952238899409478
29000	-6588.770092655076	7.9	-6588.687640404027	-0.08245225104939824
30000	-6591.625791080626	8.3	-6591.808112977863	0.18232189723643888
31000	-6591.265204519522	8.6	-6593.502599554041	2.2373950345194586
32000	-6589.956853883908	8.9	-6590.88750643144	0.9306525475324097
33000	-6602.1369665627	12.4	-6597.860308509455	-4.276658053245615
34000	-6591.8769721721565	12.6	-6592.858922358029	0.9819501858725301
35000	-6596.940231775181	11.9	-6597.775215303238	0.8349835280567912
36000	-6589.368635985908	13.3	-6590.177332339463	0.8086963535542693
37000	-6599.376226256341	11.8	-6596.996392878145	-2.3798333781961816
38000	-6590.874030246902	12.4	-6591.520413194574	0.64638294767113
39000	-6595.135413173501	12.8	-6595.956001965545	0.820588792044171
40000	-6597.574295136128	12.5	-6595.8868466674785	-1.6874484686494968
41000	-6595.541558806377	11.7	-6596.3944319530765	0.8528731466991586
42000	-6594.997297620322	11.3	-6597.253076934399	2.255779314077836
43000	-6602.817903277972	10.1	-6601.169723443139	-1.6481798348326717
44000	-6590.323458130559	11.0	-6590.850707143007	0.527249012447697
45000	-6593.21697277714	11.0	-6592.169337567081	-1.0476352100584552
46000	-6594.492134842938	10.8	-6594.902067847859	0.40993300492073254
47000	-6590.930669932891	11.4	-6591.7425364139945	0.8118664811036762
48000	-6589.520474845704	12.2	-6591.21941674448	1.6989418987768268
