#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:alignment" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:alignment" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:alignment" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:alignment" name="distribution" x="@BDBirthRate.t:alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:alignment" name="distribution" x="@BDDeathRate.t:alignment">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment" id="treeLikelihood.alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment">
#            <siteModel id="SiteModel.s:alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	BDBirthRate	BDDeathRate
0	-17771.58830768297	-17769.358510648217	-2.2297970347544656	-17769.358510648217	1.7214208032558544	-2.2297970347544656	1.0	0.5
1000	-11177.803723584551	-11173.133892935704	-4.669830648846601	-11173.133892935704	1.002372874106076	-4.669830648846601	0.926060568351642	0.5361696811825782
2000	-11163.158874282448	-11156.536403659025	-6.6224706234230055	-11156.536403659025	0.948761070341281	-6.6224706234230055	2.8785419332111983	0.3236664709829226
3000	-11164.792408466075	-11159.089379473005	-5.703028993070123	-11159.089379473005	1.1658303110918233	-5.703028993070123	2.0923824809926024	0.2927391607859201
4000	-11162.086097625726	-11157.34186506392	-4.744232561807391	-11157.34186506392	0.9979244176789588	-4.744232561807391	1.240037663750187	0.4482744496321081
5000	-11161.006044313386	-11156.929609956445	-4.07643435694101	-11156.929609956445	0.9962840365702959	-4.07643435694101	1.3855848305142626	0.22855878549648537
6000	-11163.561628228792	-11157.780687120085	-5.7809411087070846	-11157.780687120085	1.006092576950741	-5.7809411087070846	1.8492361253467602	0.4527734064038058
7000	-11163.791815447803	-11158.37995090374	-5.411864544063015	-11158.37995090374	0.9848021697534028	-5.411864544063015	0.650323310219419	0.48594741345534975
8000	-11162.547922045207	-11157.404536066488	-5.143385978719223	-11157.404536066488	0.9206812665514977	-5.143385978719223	0.8633750440071631	0.7484999242855425
9000	-11166.194724592999	-11161.251669014282	-4.943055578717108	-11161.251669014282	0.9580877389730845	-4.943055578717108	0.881508392988221	0.5764354254269882
10000	-11161.541445436356	-11156.45320878983	-5.088236646527048	-11156.45320878983	1.0202942705889142	-5.088236646527048	0.6360319704236623	0.7270509550259657
11000	-11164.170643906631	-11158.113281318869	-6.057362587762314	-11158.113281318869	1.0586475992160662	-6.057362587762314	1.9635964568009796	0.4597747255708145
12000	-11160.193262718767	-11155.92593099378	-4.267331724985537	-11155.92593099378	1.0010685474219814	-4.267331724985537	1.2625856697011795	0.2316779111109481
13000	-11164.518154811663	-11158.15808146122	-6.360073350443368	-11158.15808146122	1.0525603050563148	-6.360073350443368	2.160651494773438	0.4424035890719
14000	-11167.072241545528	-11162.80854867901	-4.263692866517491	-11162.80854867901	0.9812361478140684	-4.263692866517491	1.9428415325396098	0.15946796004908256
