Sample	posterior	ESS(posterior)	likelihood	prior	
0	-11206.52662134003	3.4	-11200.06978690293	-6.456834437099243	
1	-11206.52662134003	3.4	-11200.06978690293	-6.456834437099243	
2	-11205.226676267393	3.4	-11198.117415836588	-7.1092604308050245	
3	-11205.226676267393	3.4	-11198.117415836588	-7.1092604308050245	
4	-11205.226676267393	3.4	-11198.117415836588	-7.1092604308050245	
5	-11204.349558985596	3.5	-11197.110643920902	-7.238915064694664	
6	-11202.779433236094	3.5	-11194.637473359491	-8.141959876601803	
7	-11202.779433236094	3.5	-11194.637473359491	-8.141959876601803	
8	-11202.779433236094	3.5	-11194.637473359491	-8.141959876601803	
9	-11201.5772413516	3.6	-11194.583114224872	-6.994127126728297	
10	-11199.603837370078	3.5	-11192.30285253027	-7.300984839807511	
