#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:alignment_twin" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:alignment_twin" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:alignment_twin" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:alignment_twin" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:alignment_twin" name="distribution" x="@BDBirthRate.t:alignment_twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:alignment_twin" name="distribution" x="@BDDeathRate.t:alignment_twin">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:alignment_twin" name="distribution">
#            <parameter id="ucldStdev.c:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.1" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_twin" id="treeLikelihood.alignment_twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_twin">
#            <siteModel id="SiteModel.s:alignment_twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_twin" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_twin" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_twin" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment_twin" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:alignment_twin" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:alignment_twin">
#                <LogNormal S="@ucldStdev.c:alignment_twin" id="LogNormalDistributionModel.c:alignment_twin" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="18" id="rateCategories.c:alignment_twin" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:alignment_twin" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	BDBirthRate	BDDeathRate
0	-18138.29296032792	-18132.084855612888	-6.20810471503202	-18132.084855612888	2.795951228979414	0.1	0.9100345160896042	0.0061461909965153	0.08312381248033246	-7.027468860152822	1.0	0.5
1000	-10752.032935323252	-10744.895458694511	-7.137476628740485	-10744.895458694511	1.2475956006250721	0.28465039877190873	0.8371941222316783	0.04814354293238716	0.26495540786790406	-6.991715635746557	1.4710657019210316	0.5913459411548864
2000	-10748.204916914325	-10744.293454166624	-3.911462747700887	-10744.293454166624	1.1047291375616164	0.09926058769570985	0.9232255358880292	0.006854874016003969	0.08708340887115147	-4.736179936342116	0.9469575267174561	0.30312602849011827
3000	-10752.885777761878	-10749.822815885436	-3.062961876441202	-10749.822815885436	1.1162468507214813	0.049012941163425194	1.000980574441813	0.0015277367525785089	0.038921781014866375	-4.344139657872272	0.9345797170314633	0.6653684584760129
4000	-10747.966844593697	-10745.010093724466	-2.956750869231565	-10745.010093724466	0.920569140584568	0.1253657754371405	1.0327558756586759	0.015649548894575097	0.12054110191517715	-3.6056145256068364	1.1292048867418014	0.3176123562365807
5000	-10750.186969846638	-10746.013566737789	-4.173403108849354	-10746.013566737789	0.9917814680795918	0.10465581346002252	1.02955482648353	0.013576468357743626	0.1124030085350979	-4.959624732588076	2.1684057978948044	0.48625314972627176
6000	-10749.051840529732	-10745.711420964311	-3.340419565420099	-10745.711420964311	1.0463776689721855	0.05795085552050072	1.0021500018034286	0.0013116663094504364	0.03631779486697129	-4.521071490746689	2.225485865705535	0.27243805011962474
7000	-10746.658641848782	-10744.359248503584	-2.29939334519794	-10744.359248503584	0.9624117451914141	0.033762284333652276	1.0011159201015285	0.0011961957867401161	0.03463449483134528	-3.792114279037167	2.578639432650717	0.10851724994405845
8000	-10748.531195330137	-10743.675936057096	-4.855259273041121	-10743.675936057096	0.9693827143066948	0.053713557810259265	1.031820482950053	0.0021570590408062883	0.04553160456853732	-6.081964626599868	2.6675582790658288	0.5059084173473294
9000	-10749.954151292695	-10748.041340458216	-1.9128108344785502	-10748.041340458216	0.9281099236437937	0.055927284334817993	1.007697262404853	0.0022887576241869545	0.04747991699485282	-3.1151254415742606	1.5815680587709389	0.3314019668360573
10000	-10751.644751259819	-10748.735817989129	-2.90893327069075	-10748.735817989129	0.9463131636794413	0.05205084024544096	0.9976414624008093	9.6247053189582E-4	0.03113722820439251	-4.154469477809958	1.017498447850623	0.7412186707397891
11000	-10749.638607375733	-10746.38667552962	-3.251931846112037	-10746.38667552962	0.9547993085976002	0.11011967308970666	0.9950816867479043	0.00662882429951095	0.08181739628098243	-4.000416342923066	1.418433773988648	0.5509447249770361
12000	-10748.194907155616	-10745.31141062964	-2.8834965259748655	-10745.31141062964	1.0149951264643597	0.038212234156557626	0.9839299667195177	0.001003301660292585	0.031887235047635985	-4.307562558173086	2.123249866275805	0.31183039288069586
13000	-10748.587639053383	-10746.626147459652	-1.9614915937307544	-10746.626147459652	0.9663957853956932	0.02844403994524521	1.004575687730865	5.205238700259943E-4	0.02265686994375863	-3.547053456149535	1.5863990316205645	0.32193450145948166
14000	-10748.088894935312	-10745.068681597113	-3.020213338198754	-10745.068681597113	1.0547868879312274	0.010371074081889108	1.0001694126606342	8.474831270992577E-5	0.009194697730789625	-5.117604889894255	0.6180052362824138	0.8732378538810963
15000	-10744.751037997898	-10744.036841888077	-0.714196109820441	-10744.036841888077	0.9706253009248897	9.995183981412567E-4	0.9998466748577507	7.057403575538124E-7	8.403011681197919E-4	-3.9132338175083663	1.0983105925878793	0.655202446630845
16000	-10752.812729652227	-10748.491259784585	-4.321469867642016	-10748.491259784585	1.0109362772957167	0.010683438995123353	1.0005309432765812	6.417468283631825E-5	0.008003745219748708	-6.4043814979219675	1.3062417671810258	0.8018613228048278
17000	-10749.742350920362	-10747.231902015554	-2.5104489048072205	-10747.231902015554	0.982429157992817	0.020369330294526294	1.0075253562483641	3.6307272202370833E-4	0.01902663915401308	-4.270885663984732	2.7432312320791334	0.11745319387300407
18000	-10748.08541444514	-10745.937245541696	-2.1481689034439784	-10745.937245541696	0.9923957739948006	0.03475251330538697	1.010778758545319	0.0012303240826340022	0.0348738509369854	-3.6249878938939295	2.0913982292669417	0.03396895563150286
19000	-10746.735731541014	-10745.554203351345	-1.1815281896689735	-10745.554203351345	1.0075869863746048	0.004714378482682082	0.9980719340651553	2.4928654605074115E-5	0.004999987150852255	-3.656712695012823	1.4920186750175737	0.12381414116968538
20000	-10748.222040321598	-10745.56465861833	-2.6573817032673563	-10745.56465861833	0.9926132226800188	0.12642405310355473	1.0074267975656588	0.012020159938974487	0.10821731190993895	-3.299604110307336	1.4828857944899123	0.09596700062980149
21000	-10751.656223403805	-10748.966996739779	-2.689226664027021	-10748.966996739779	0.9222241912368984	0.03476744264789754	0.9803679487262799	5.893446654867622E-4	0.02467405845524779	-4.1658088212929645	2.375268877902452	0.2899023857196325
22000	-10748.230847109457	-10745.965136789237	-2.265710320220248	-10745.965136789237	0.9952207835698467	0.024037670094426575	1.0006436680627895	4.993753996047169E-4	0.022399829130383256	-3.9403031005187525	0.9083964984650477	0.4939263401057467
23000	-10747.60059090141	-10745.423859780965	-2.176731120444841	-10745.423859780965	0.9529230806841328	0.015876495521242897	0.9929391060841855	1.7114085915798577E-4	0.01311075809601576	-4.063659662004948	0.8131357593636291	0.4880560258878807
24000	-10748.478263555546	-10746.572124865166	-1.906138690379851	-10746.572124865166	0.9797205409934423	0.01175668244559156	1.00197749498712	1.0864572199290277E-4	0.0104061485801305	-3.942167330503276	1.3631820442734255	0.5745382941416813
25000	-10750.607295951906	-10747.246360238387	-3.360935713519482	-10747.246360238387	0.9997278326376055	0.14024068957672028	0.9641468441074819	0.010924273929105607	0.10558853459190402	-3.9192274926524506	1.0183555456599465	0.41344696146501647
26000	-10749.316399952724	-10746.616022366958	-2.7003775857674155	-10746.616022366958	1.012278529715427	0.07128576884966113	0.9894495405445838	0.007705009024753416	0.08876086476538232	-3.7507627453060097	1.4736676805063609	0.2575589028102166
27000	-10748.334383453444	-10745.848312084634	-2.4860713688111753	-10745.848312084634	1.0180309434136614	0.02575893025671856	1.0084743348491183	4.8320383858408865E-4	0.02178205073090254	-4.124316163364979	2.0999227545603367	0.2780904041200861
28000	-10748.671926028115	-10746.14637900628	-2.5255470218342273	-10746.14637900628	1.0671016840835565	0.022120868675387515	1.0046906214807707	5.75093931027087E-4	0.0238247751448922	-4.243418501578339	1.9967086690021254	0.2634814342432733
29000	-10747.368791699311	-10745.81671301631	-1.552078683001937	-10745.81671301631	0.951406611313294	0.005854522354371354	0.9996360564044512	4.233686191876279E-5	0.006509894773975897	-3.9245563289035372	2.5269839798371185	0.2142865368981688
30000	-10750.937440454773	-10748.507823084256	-2.4296173705165973	-10748.507823084256	1.0041139743138185	0.048727105658826826	1.0060463661552357	0.002408972986877471	0.048436684903611825	-3.7142364460626958	1.3309354346663802	0.09155059120271705
31000	-10747.24352185581	-10745.131311767778	-2.112210088030878	-10745.131311767778	1.032901555161593	0.026152342225808697	1.0020479024816822	3.8325908188251975E-4	0.01947927723326162	-3.742446279841676	1.594803661292393	0.05366258422325544
32000	-10751.694890943878	-10749.64583775513	-2.0490531887476706	-10749.64583775513	1.0289573050158016	0.01535437965725275	0.9993429482350179	3.485990986510057E-4	0.018663592109648387	-3.952744196207185	1.3688134309136406	0.10701781529211747
33000	-10746.36252068563	-10743.978107359057	-2.384413326574731	-10743.978107359057	0.9972642147068073	0.04365360819801016	1.0289091995141129	0.0020500914104863038	0.04447243729236254	-3.732938045221025	1.3035363567952756	0.1787987205999393
34000	-10749.301513480124	-10747.219778864475	-2.081734615649733	-10747.219778864475	1.0595267900191245	0.03977909113997051	1.0150740311530548	0.0021761406065343037	0.04615271817320235	-3.4831963596255373	2.015167685461089	0.08365202068348954
35000	-10754.221459513294	-10751.717165853723	-2.504293659571217	-10751.717165853723	0.9243042730131193	0.09996005150704738	0.9743089004853405	0.005895858398678884	0.07794039802214461	-3.3239463688906477	2.4418466482192778	0.05442398552594971
36000	-10747.992344118928	-10745.896606384078	-2.0957377348496706	-10745.896606384078	1.046507684732956	0.020396816344473656	0.998753490421197	1.7753849929267064E-4	0.013314307919764418	-3.855481684527331	1.9583725995858328	0.01781114871011246
37000	-10743.629928501943	-10742.927931769113	-0.7019967328299859	-10742.927931769113	0.9622517054496261	0.003419901306434976	0.9996140704943512	1.7204340199635298E-5	0.004146231024937581	-3.328361694199504	1.9696208702477054	0.027415986474046035
38000	-10748.457048020551	-10745.32791632637	-3.1291316941803466	-10745.32791632637	1.0839220517325119	0.0377295793723114	0.9959380086093678	0.0014431397896789574	0.03810178088139415	-4.560313854505953	2.456285648956196	0.032018582672279625
39000	-10752.639744432163	-10748.994911684671	-3.6448327474913635	-10748.994911684671	1.0660749165734351	0.08168924373337523	1.006932435907427	0.008274038851511636	0.09082284674217622	-4.6052582703936675	2.6607144235631677	0.001584321612353542
40000	-10753.888248725876	-10751.262352225109	-2.625896500767082	-10751.262352225109	1.1035476006191578	0.052586156905817756	1.0075239444618846	0.00231158332612016	0.04790770392020673	-3.8653201892410176	1.7026683204680628	0.15556664237178636
41000	-10746.189146187078	-10744.310032913687	-1.8791132733914662	-10744.310032913687	1.015145086866089	0.011226403264466894	1.0015544662843177	1.4380789080625436E-4	0.011955180663246112	-3.937779449097475	1.1579734678999924	0.24039236884679122
42000	-10748.823239255926	-10747.938473824574	-0.8847654313517279	-10747.938473824574	0.9616313335450555	0.00495537121125425	1.000118035825569	2.0818872065714895E-5	0.004565035581701441	-3.336365662577242	1.959575092165367	0.24516184742459168
43000	-10749.511002885438	-10747.267747456403	-2.2432554290356865	-10747.267747456403	0.975231711798449	0.03217361506109533	1.0028869374888236	0.0013966569828017252	0.037212287210700516	-3.762326457450417	1.1682005997002844	0.5482698021773159
44000	-10748.777809353664	-10745.038379731977	-3.7394296216855194	-10745.038379731977	1.0281264379606112	0.043388611270403075	0.9935528945535486	6.423014030277577E-4	0.025244094537660404	-5.091451582579054	2.2759276265739	0.34728185277219464
45000	-10747.32038213266	-10746.105589116794	-1.2147930158656313	-10746.105589116794	0.9481462000534564	0.010706644846624496	1.0028574735137539	1.019684589685066E-4	0.010085286919071165	-3.2966449164061866	1.434174504057334	0.34103164299136773
46000	-10751.245885818269	-10749.175731131938	-2.0701546863316915	-10749.175731131938	1.0235264931314738	0.026198812741726946	0.9966419289374502	7.726264882444013E-4	0.027659393328368646	-3.6994518295672516	1.4412105754845033	0.12828602110015047
47000	-10749.938963311259	-10748.458201015137	-1.480762296122124	-10748.458201015137	1.0100946251741367	0.010208936353659683	0.9990490246573178	8.606740743218215E-5	0.009306665936645555	-3.585832991876623	1.5348225939442037	0.22460917282848783
48000	-10746.525855740576	-10745.924600443508	-0.6012552970681568	-10745.924600443508	1.0085843477265817	0.0013542790542459455	0.9995025505734855	1.171374927995374E-6	0.0010827541271668537	-3.659517123410355	1.382311914265174	0.351742575202304
49000	-10753.023227473424	-10751.25524211969	-1.7679853537338497	-10751.25524211969	0.9045902449730676	0.006806703175023918	0.9995456985423831	4.563186482931115E-5	0.006756445640283512	-4.0685904520049805	1.0926210404668955	0.07313437034644346
50000	-10744.739919535914	-10743.87481283467	-0.8651067012426639	-10743.87481283467	0.9623394946344458	0.0021383747198404648	0.9999230183937532	3.1238791723887925E-6	0.0017674022815928865	-3.7110153383422677	1.002833294677346	0.5352751478958389
51000	-10744.83955487666	-10743.871474442558	-0.9680804341017901	-10743.871474442558	0.9423105198162449	0.0024678295548764837	1.0013665475398708	8.053789989818344E-6	0.002834597197003465	-3.747154311161298	2.3882201164472385	0.21257227896405467
