Sample	posterior	ESS(posterior)	likelihood	prior
0	-33959.21807963657	N	-33956.01093251039	-3.2071471261841458
1000	-19480.680510446	2.0	-19476.1078715654	-4.5726388805998255
2000	-19197.69185984545	3.0	-19195.184321892433	-2.5075379530175783
3000	-19193.18569756901	4.0	-19190.65298735052	-2.5327102184910153
4000	-19184.832851601364	5.0	-19181.324555060222	-3.5082965411429905
5000	-19190.31128318431	6.0	-19186.222663645178	-4.088619539132219
6000	-19180.52619614279	7.0	-19178.58304867992	-1.9431474628704044
7000	-19184.7568974366	8.0	-19182.516895412296	-2.2400020243046646
8000	-19186.749030736162	9.0	-19184.520175184014	-2.2288555521481506
9000	-19184.260920654615	8.6	-19183.024591040765	-1.2363296138515105
10000	-19178.129722458525	9.3	-19176.068450436396	-2.0612720221283882
11000	-19188.20266093515	10.1	-19178.75208612751	-9.45057480763618
12000	-19182.631450464123	10.8	-19180.35473860561	-2.2767118585153217
13000	-19183.283580415427	11.6	-19181.125583928642	-2.15799648678617
14000	-19180.72535791763	12.4	-19178.77789526988	-1.9474626477483477
15000	-19185.399295055326	13.2	-19183.90013438862	-1.4991606667045372
16000	-19186.77931932216	14.1	-19183.305739726722	-3.4735795954360107
17000	-19187.84868664614	14.9	-19182.230549715583	-5.618136930554404
18000	-19185.768937849887	15.8	-19183.309379077524	-2.459558772363371
19000	-19184.932874581456	9.8	-19182.177412322413	-2.755462259042733
20000	-19187.544149676134	10.1	-19185.246625202457	-2.297524473675962
21000	-19184.902176683358	10.9	-19183.079819813887	-1.8223568694696421
22000	-19181.165607670442	12.3	-19178.880823977313	-2.284783693127027
23000	-19187.558217374473	13.1	-19185.151759377433	-2.4064579970415263
24000	-19180.202639035753	14.4	-19178.218416942083	-1.9842220936689783
25000	-19186.722447654636	15.4	-19185.09649640655	-1.625951248085015
26000	-19182.37947490509	15.5	-19178.863048543484	-3.5164263616072375
27000	-19184.389185333115	16.1	-19181.272796010962	-3.1163893221518584
28000	-19182.42641994769	16.0	-19180.225035681487	-2.20138426620025
