"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-17453.2706800816,11.6764998588606,1.12949013897037e-32,9.27270876031928
"2","GTR","relaxed_log_normal","yule",-17411.5477426158,8.49602439930639,1.48910030946665e-14,12.5485470358168
"3","GTR","strict","birth_death",-17432.4089950314,10.5474558359103,1.29717074100524e-23,9.86655413423567
"4","GTR","strict","yule",-17409.0269379342,10.3542959179973,1.85223257170921e-13,6.41413701873516
"5","HKY","relaxed_log_normal","birth_death",-17414.4523927909,10.2126154658369,8.15549659904279e-16,10.9975249552509
"6","HKY","relaxed_log_normal","yule",-17417.9098012012,9.80755809828882,2.56990468823512e-17,9.37773380657909
"7","HKY","strict","birth_death",-17412.962031903,10.2552697510692,3.61997791199302e-15,21.6937408254893
"8","HKY","strict","yule",-17400.2876961905,10.9817547489539,0.00000000115637843054324,10.2673147796468
"9","JC69","relaxed_log_normal","birth_death",-17398.3045083583,7.8980907013198,0.00000000840209358371515,11.5792639435658
"10","JC69","relaxed_log_normal","yule",-17393.0069054578,9.06642314492405,0.00000167921854328222,13.8873423498287
"11","JC69","strict","birth_death",-17379.7378990177,8.74713110266378,0.972217644534317,7.384797121156
"12","TN93","relaxed_log_normal","birth_death",-17413.9942542137,10.9058352567598,1.28948848119759e-15,12.7160852369332
"13","TN93","relaxed_log_normal","yule",-17417.210736439,9.41151245632311,5.17031478852427e-17,8.00573546354133
"14","TN93","strict","birth_death",-17395.6971092416,10.706049832487,0.000000113963705805274,11.7055846152679
"15","TN93","strict","yule",-17383.2931424776,9.05217219048798,0.0277805527247559,6.84800461877453
