#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment" name="distribution" x="@birthRate.t:alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment" id="treeLikelihood.alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment">
#            <siteModel id="SiteModel.s:alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-35262.574612951445	-35255.7413830767	-6.833229874744575	-35255.7413830767	1.6845244490565663	-6.833229874744575	1.0
1000	-18184.765192498737	-18183.322492742027	-1.4426997567082553	-18183.322492742027	0.8862070858199199	-1.4426997567082553	3.019767236381865
2000	-17320.946176852474	-17318.745080361263	-2.201096491211195	-17318.745080361263	1.0598731233168046	-2.201096491211195	3.830180525897352
3000	-17319.3850560039	-17317.219050060194	-2.16600594370363	-17317.219050060194	1.1041812092404313	-2.16600594370363	3.94780315237647
4000	-17313.44040639355	-17311.601868616268	-1.8385377772823794	-17311.601868616268	1.0186507383397014	-1.8385377772823794	3.8056756596911057
5000	-17310.920579879334	-17307.183715038194	-3.736864841137976	-17307.183715038194	1.2373859921641261	-3.736864841137976	3.8409573756229713
6000	-17310.42917008387	-17309.02677986293	-1.402390220941859	-17309.02677986293	1.0751510328007012	-1.402390220941859	3.3751697539671532
7000	-17307.456848153968	-17306.49930636839	-0.957541785575911	-17306.49930636839	1.118030098377173	-0.957541785575911	2.509806277065441
8000	-17306.366274363863	-17304.917869214583	-1.4484051492801475	-17304.917869214583	1.2692925499638417	-1.4484051492801475	2.5538278827672847
9000	-17303.86109970882	-17302.825198358554	-1.0359013502660321	-17302.825198358554	1.1264342107503003	-1.0359013502660321	2.6425324940070913
10000	-17306.209059715886	-17305.45730552941	-0.751754186477191	-17305.45730552941	1.1178752739927023	-0.751754186477191	2.582293078395398
11000	-17311.770725218717	-17309.665783407556	-2.10494181116178	-17309.665783407556	1.0742715723701788	-2.10494181116178	1.7711380712784612
12000	-17305.241282856314	-17303.789585414357	-1.4516974419568855	-17303.789585414357	1.0932048250858108	-1.4516974419568855	3.1066473587008674
13000	-17304.719398122452	-17304.45361530057	-0.2657828218846623	-17304.45361530057	1.062138195461887	-0.2657828218846623	2.546018340344176
14000	-17304.28313063856	-17303.49537096099	-0.7877596775694062	-17303.49537096099	1.1282923530512055	-0.7877596775694062	2.5792381296210767
15000	-17310.19673744243	-17308.427015554997	-1.7697218874349296	-17308.427015554997	1.2719346659358692	-1.7697218874349296	2.5656638246320647
16000	-17304.785455467478	-17303.66800315086	-1.1174523166202208	-17303.66800315086	1.1693297365243804	-1.1174523166202208	2.440347948656333
17000	-17309.124469391172	-17306.369034113308	-2.755435277864526	-17306.369034113308	1.181969720720614	-2.755435277864526	1.7076616087449263
18000	-17304.317329949085	-17303.833873889198	-0.4834560598874562	-17303.833873889198	1.0706835103373396	-0.4834560598874562	2.461733755136951
19000	-17307.80323996369	-17307.278303575946	-0.5249363877441597	-17307.278303575946	1.078781500951957	-0.5249363877441597	2.559907793612612
20000	-17310.709865238932	-17308.730333643955	-1.979531594977848	-17308.730333643955	1.1101536201408588	-1.979531594977848	3.6582547876014173
21000	-17308.544546693898	-17306.658420396358	-1.88612629754091	-17306.658420396358	1.2222524327406856	-1.88612629754091	3.3061892986545702
22000	-17304.926931290796	-17303.590645995773	-1.3362852950247355	-17303.590645995773	1.1301493752868244	-1.3362852950247355	2.1790741134659006
23000	-17305.49381421688	-17303.79784889412	-1.6959653227613218	-17303.79784889412	1.2005114824719696	-1.6959653227613218	2.799932218542128
24000	-17304.388177658384	-17303.694368317352	-0.6938093410307165	-17303.694368317352	1.1156547799603183	-0.6938093410307165	2.2897226617581654
25000	-17313.225161817714	-17310.810198942752	-2.4149628749617977	-17310.810198942752	1.0613714855482077	-2.4149628749617977	1.5802643904442246
26000	-17305.91571323232	-17304.187846148594	-1.727867083725184	-17304.187846148594	1.1518041416804257	-1.727867083725184	1.8741540506263208
27000	-17307.208902205846	-17305.05877113452	-2.150131071326539	-17305.05877113452	1.1781874093053548	-2.150131071326539	1.8286380327998308
28000	-17308.882648724193	-17307.259695586905	-1.6229531372898656	-17307.259695586905	1.203597501343521	-1.6229531372898656	2.688601641858745
29000	-17304.3848038658	-17303.135578602312	-1.249225263488806	-17303.135578602312	1.1828647031814694	-1.249225263488806	2.652077822372743
30000	-17303.219242622497	-17302.6015254424	-0.6177171800997359	-17302.6015254424	1.0772840062866658	-0.6177171800997359	2.441687812942508
31000	-17302.48927402555	-17301.202987600198	-1.2862864253511708	-17301.202987600198	1.0811375019670315	-1.2862864253511708	3.1662597570265207
32000	-17304.91990608393	-17302.572708187417	-2.3471978965149223	-17302.572708187417	1.1437196092936277	-2.3471978965149223	3.408166997371407
33000	-17305.969927612285	-17304.51378584041	-1.4561417718752283	-17304.51378584041	1.1215288979826503	-1.4561417718752283	3.315246991203606
34000	-17309.024540215483	-17308.64516522231	-0.37937499317307743	-17308.64516522231	1.0424313997466998	-0.37937499317307743	2.780112717969825
35000	-17303.916110621954	-17302.52609822595	-1.3900123960062247	-17302.52609822595	1.1865739080572562	-1.3900123960062247	2.605576216315352
36000	-17310.87946730467	-17309.138867834434	-1.740599470235375	-17309.138867834434	1.0885648460616217	-1.740599470235375	1.9007991246721156
37000	-17309.553963237304	-17308.58183787177	-0.9721253655323139	-17308.58183787177	1.099357862770818	-0.9721253655323139	2.335806155726442
38000	-17303.49600922294	-17302.70949017189	-0.7865190510539968	-17302.70949017189	1.1324247968692764	-0.7865190510539968	2.276439103293766
39000	-17304.10829824727	-17301.807884371636	-2.3004138756330974	-17301.807884371636	1.1388432401299615	-2.3004138756330974	3.6109670949284367
