Sample	posterior	ESS(posterior)	likelihood	prior
0	-13764.332051533262	N	-13753.5521831905	-10.779868342761727
1000	-6785.3672442662055	2.0	-6784.8719557781915	-0.49528848801409
2000	-6773.65160348084	3.0	-6773.673745798009	0.022142317168704295
3000	-6779.472753559345	4.0	-6780.596275210999	1.123521651654233
4000	-6773.12514903743	5.0	-6774.1783928601435	1.0532438227139531
5000	-6775.526497216572	6.0	-6776.643851554094	1.1173543375216228
6000	-6774.64781711563	7.0	-6776.320087829529	1.672270713900109
7000	-6771.97027716694	8.0	-6773.060420277634	1.09014311069427
8000	-6772.41540367839	9.0	-6774.129050282206	1.7136466038156613
9000	-6773.136954840603	5.1	-6774.564070145843	1.42711530524093
10000	-6776.845159361559	6.0	-6776.853297974062	0.008138612502669673
11000	-6776.787206243331	6.7	-6777.314150558119	0.5269443147878405
12000	-6773.854850479509	8.0	-6775.496383091323	1.6415326118139184
13000	-6771.8875979722525	9.2	-6772.845978345615	0.9583803733625613
14000	-6776.283936304023	10.4	-6777.324622817571	1.0406865135479801
15000	-6775.262615016868	11.1	-6776.8697294289805	1.6071144121124652
16000	-6774.9572780282815	12.0	-6775.2195908751855	0.2623128469038081
17000	-6772.361080983314	13.2	-6773.111044607363	0.7499636240486272
18000	-6774.222353634112	13.8	-6775.791221590984	1.5688679568722073
19000	-6779.525328208618	18.0	-6778.833293646146	-0.6920345624723261
20000	-6774.391700028854	19.0	-6775.52228329415	1.1305832652964494
21000	-6774.175463313434	20.0	-6774.035863830544	-0.1395994828894982
22000	-6775.52618635696	21.0	-6776.358331155867	0.8321447989068247
23000	-6774.838393711981	22.0	-6775.954027060033	1.1156333480523752
24000	-6777.662038076527	23.0	-6778.3944438277695	0.7324057512421893
25000	-6773.704561879333	24.0	-6775.051225960444	1.3466640811108528
26000	-6773.626132909969	25.0	-6773.36084595203	-0.26528695793847845
27000	-6773.359908172899	26.0	-6773.629012801022	0.26910462812317615
28000	-6772.683695879661	27.0	-6771.9658317009425	-0.7178641787187576
29000	-6772.847338820092	27.0	-6773.292425564612	0.44508674452053665
30000	-6776.110062387562	28.0	-6776.282226085628	0.17216369806658882
31000	-6777.352687151171	29.0	-6778.049384103711	0.6966969525400906
32000	-6771.487052235317	30.0	-6773.089356693977	1.6023044586600514
33000	-6770.285172983263	31.0	-6771.841796042414	1.556623059151594
34000	-6774.464227210386	32.0	-6776.153971872167	1.6897446617813197
35000	-6774.886421171722	33.0	-6775.989843538195	1.1034223664727945
36000	-6774.147981823172	34.0	-6775.5507399143835	1.4027580912118172
37000	-6775.9480577581235	35.0	-6775.732843082983	-0.21521467514028103
38000	-6771.634027411405	36.0	-6772.765263167229	1.131235755823873
39000	-6772.832474987699	36.0	-6774.874297229479	2.0418222417804532
40000	-6778.803277591872	37.0	-6776.072540621814	-2.7307369700576043
41000	-6773.21901619514	38.0	-6774.169665376587	0.9506491814464031
42000	-6773.030610064942	39.0	-6774.634119286767	1.6035092218242015
43000	-6773.314389686817	40.0	-6772.93811230791	-0.3762773789067335
44000	-6772.438632081515	41.0	-6773.598679251353	1.1600471698383874
45000	-6774.646367367983	42.0	-6775.727810489506	1.0814431215232316
46000	-6773.718214474486	43.0	-6775.766158752553	2.0479442780665797
47000	-6775.422487296459	44.0	-6776.191577607308	0.7690903108495437
48000	-6774.035167860602	45.0	-6774.374549166094	0.3393813054920223
49000	-6771.8051836518325	45.0	-6773.162846873888	1.3576632220559661
50000	-6772.323590990068	46.0	-6773.501239283981	1.1776482939127533
51000	-6772.391905943813	47.0	-6774.231210036962	1.8393040931486988
52000	-6773.96683118519	48.0	-6775.73819117812	1.7713599929305506
53000	-6771.805651437069	49.0	-6772.87553311396	1.0698816768905193
54000	-6772.250388906186	50.0	-6774.306945609285	2.056556703099025
55000	-6773.778779641004	51.0	-6776.131344942138	2.352565301133823
56000	-6774.798492816406	52.0	-6775.936269499827	1.1377766834207552
57000	-6772.803629199131	53.0	-6774.292795483999	1.4891662848674567
58000	-6774.189130816477	54.0	-6775.548142585142	1.359011768665737
59000	-6775.74921424698	54.0	-6777.651195341016	1.901981094035933
60000	-6773.879853256874	55.0	-6774.859326515048	0.9794732581736563
61000	-6774.883352723733	56.0	-6775.218137579184	0.3347848554510624
62000	-6772.575752418419	57.0	-6774.250870171576	1.6751177531566857
63000	-6774.038794252806	58.0	-6775.06393389106	1.025139638253525
64000	-6774.548556052114	59.0	-6775.752974534788	1.2044184826744484
65000	-6775.6470924261575	60.0	-6775.174441339437	-0.4726510867202247
66000	-6772.121385830629	61.0	-6772.589866817777	0.4684809871478617
67000	-6782.850228743515	62.0	-6782.344153238171	-0.5060755053433281
68000	-6780.384972692132	63.0	-6782.592122929014	2.20715023688253
69000	-6773.028099927445	63.0	-6774.728999483108	1.7008995556636055
70000	-6774.0627541573585	64.0	-6775.5268150257925	1.4640608684338403
71000	-6776.919330838675	65.0	-6777.183762098427	0.2644312597524294
72000	-6773.479135105947	66.0	-6773.811345799833	0.33221069388698865
73000	-6770.962271684334	67.0	-6771.995146226197	1.032874541862462
74000	-6774.55373879563	68.0	-6775.163648876975	0.6099100813444593
75000	-6775.020155563452	69.0	-6776.275116799427	1.25496123597501
76000	-6770.664455592519	70.0	-6771.889543960035	1.2250883675164488
77000	-6775.0319183615675	71.0	-6774.100783000683	-0.9311353608843476
78000	-6773.070533707595	72.0	-6774.67031714331	1.5997834357153424
79000	-6771.547943531728	72.0	-6773.07208699543	1.5241434637022984
80000	-6773.576060953048	73.0	-6775.237336817638	1.6612758645892463
81000	-6775.749453657686	74.0	-6776.488202701954	0.738749044267589
82000	-6771.289599194342	75.0	-6772.591626865236	1.3020276708935423
83000	-6774.053262996073	76.0	-6775.277679902996	1.2244169069233468
84000	-6775.365740592568	77.0	-6777.117965213727	1.7522246211590975
85000	-6771.748846408613	78.0	-6772.940698353416	1.191851944803747
86000	-6770.9975279289065	79.0	-6772.132927855282	1.1353999263759427
87000	-6774.4504061024	80.0	-6775.098256041355	0.647849938954673
88000	-6773.018468478737	81.0	-6774.403165030255	1.3846965515178828
89000	-6772.196983810236	81.0	-6773.964880155191	1.7678963449554104
90000	-6773.542618639738	82.0	-6774.479407237612	0.93678859787381
91000	-6770.36602898626	83.0	-6771.709116860295	1.3430878740350014
92000	-6775.0127047500655	84.0	-6776.444999804167	1.4322950541018784
93000	-6774.288441804602	85.0	-6775.408243250361	1.1198014457584362
94000	-6772.258332556619	86.0	-6772.983241322202	0.7249087655831001
95000	-6772.944190241385	87.0	-6773.281990565587	0.3378003242019192
96000	-6778.512347366673	88.0	-6779.0708641191795	0.5585167525064554
97000	-6773.8461113348585	89.0	-6774.099044797535	0.25293346267605266
98000	-6772.239772461713	90.0	-6772.806591173833	0.5668187121197028
99000	-6774.27128919314	90.0	-6774.027227274198	-0.24406191894219909
100000	-6773.641715475938	91.0	-6774.308518402075	0.6668029261366986
101000	-6773.348307556312	92.0	-6774.270666396245	0.9223588399332412
102000	-6770.868979524091	93.0	-6772.212401696478	1.343422172387517
103000	-6775.921401364272	94.0	-6778.404397248079	2.482995883806553
104000	-6772.967233677015	95.0	-6774.14622893892	1.1789952619047464
105000	-6774.313046072011	96.0	-6775.542764723727	1.2297186517148662
106000	-6772.69844774099	97.0	-6773.539047072073	0.84059933108359
107000	-6772.969438545833	98.0	-6774.492930399277	1.523491853443507
108000	-6773.0076587295425	99.0	-6774.592105513048	1.5844467835061815
109000	-6775.255943229301	99.0	-6774.637758687722	-0.6181845415787812
110000	-6774.783671987411	100.0	-6775.911659639584	1.1279876521732621
111000	-6771.969376080761	101.0	-6773.597272931616	1.6278968508550262
112000	-6774.301835828066	102.0	-6775.923747753714	1.6219119256480905
113000	-6775.124605387306	103.0	-6776.151681582016	1.02707619471074
114000	-6772.752888013601	104.0	-6772.579412304126	-0.17347570947444524
115000	-6773.152321411121	105.0	-6774.311792929224	1.159471518102671
116000	-6772.779728443859	106.0	-6774.527658641512	1.74793019765238
117000	-6776.073260902573	107.0	-6778.117133523102	2.0438726205290783
118000	-6777.270140056339	108.0	-6777.310173926125	0.04003386978587464
119000	-6778.16102202757	108.0	-6778.895336827535	0.7343147999650492
120000	-6773.717983054252	109.0	-6774.7931299445845	1.0751468903325172
121000	-6775.695634231696	110.0	-6776.560830304964	0.8651960732681498
122000	-6777.0769981564845	111.0	-6778.355560106063	1.2785619495792897
123000	-6773.1555259625575	112.0	-6774.574491835536	1.4189658729785837
124000	-6773.313980532822	113.0	-6775.450489805892	2.136509273070268
125000	-6776.13397849136	114.0	-6776.3216590232605	0.18768053190038536
126000	-6776.7116144060665	115.0	-6778.687282623735	1.9756682176686224
127000	-6772.779583100513	116.0	-6773.757443660058	0.977860559544486
128000	-6773.586584529974	117.0	-6775.77597900064	2.1893944706658655
129000	-6772.490981351904	117.0	-6773.760847635801	1.2698662838969916
130000	-6774.293717124198	118.0	-6775.005524060158	0.7118069359598316
131000	-6778.691623228078	119.0	-6779.805241315827	1.1136180877486783
132000	-6772.392718534099	120.0	-6773.480968559487	1.0882500253883265
133000	-6773.882840921842	121.0	-6774.500718333326	0.617877411483752
134000	-6773.547657546693	122.0	-6775.32999143348	1.7823338867877636
135000	-6772.370915350255	123.0	-6774.235795386483	1.8648800362276337
136000	-6772.3457534284635	124.0	-6773.369130873292	1.0233774448290482
137000	-6773.210314282839	125.0	-6773.051219356665	-0.15909492617481824
138000	-6773.716881736329	126.0	-6775.0949127647245	1.378031028395256
139000	-6772.948813623156	126.0	-6774.211260967896	1.262447344740302
140000	-6778.839544035247	127.0	-6778.458956599007	-0.3805874362397308
141000	-6772.170761170658	128.0	-6773.195020616354	1.0242594456963054
142000	-6775.975803526814	129.0	-6778.199092156948	2.22328863013331
143000	-6770.509948626859	130.0	-6771.675402181321	1.165453554461834
144000	-6772.408140879576	131.0	-6773.880182878054	1.472041998477848
145000	-6777.170064317812	132.0	-6777.038704966054	-0.13135935175765567
146000	-6773.032052487728	133.0	-6772.033805836681	-0.9982466510476764
147000	-6770.678271105344	134.0	-6772.072347829535	1.39407672419133
148000	-6772.003190906929	135.0	-6774.1037567550775	2.100565848148382
149000	-6772.07537707645	135.0	-6773.088397733036	1.0130206565854785
150000	-6777.900556083921	136.0	-6777.563684009271	-0.33687207464982727
151000	-6771.367130788791	137.0	-6773.09647933779	1.7293485489988818
152000	-6773.940471519057	138.0	-6772.923827381518	-1.0166441375387056
153000	-6772.833444726797	139.0	-6774.585325550479	1.7518808236822219
154000	-6771.26316137203	140.0	-6772.931186685655	1.6680253136255212
155000	-6774.262315295166	141.0	-6775.404169189567	1.1418538944012537
156000	-6773.1124101861915	142.0	-6774.418618339537	1.3062081533454553
157000	-6775.064522269403	143.0	-6777.37712023076	2.3125979613569116
158000	-6773.036235195046	144.0	-6774.749747679458	1.7135124844121288
159000	-6771.424754933745	144.0	-6773.136044957482	1.7112900237370372
160000	-6771.434597061071	145.0	-6772.496629389348	1.0620323282765494
161000	-6780.602159394109	146.0	-6781.98545207021	1.3832926761018278
162000	-6774.785251641478	147.0	-6775.942075186019	1.1568235445407113
163000	-6773.910028525297	148.0	-6774.740965263351	0.8309367380547172
164000	-6774.579834894392	149.0	-6775.062271715076	0.48243682068466054
165000	-6776.084704612279	150.0	-6778.236015214465	2.151310602185875
166000	-6775.29904414651	151.0	-6775.823652737719	0.5246085912098106
167000	-6775.3874354141335	152.0	-6776.071273415411	0.6838380012778602
168000	-6772.277650542288	153.0	-6773.903037846274	1.6253873039862672
169000	-6773.649088778629	153.0	-6774.222898999609	0.5738102209800848
170000	-6780.273657618884	154.0	-6778.915926811228	-1.357730807655562
171000	-6772.401653820435	155.0	-6773.856752351334	1.4550985308987343
172000	-6776.110521839611	156.0	-6778.01666784614	1.9061460065296343
173000	-6770.726958281234	157.0	-6771.8634651937555	1.1365069125214449
174000	-6772.508756316085	158.0	-6773.973287069419	1.4645307533341514
175000	-6771.318437116396	159.0	-6773.496938717238	2.1785016008411775
176000	-6771.421160774557	160.0	-6772.209316453547	0.7881556789897184
177000	-6774.522949795923	161.0	-6776.215656086909	1.6927062909864015
178000	-6771.468605198873	162.0	-6772.252725706343	0.7841205074705258
179000	-6776.765536266895	162.0	-6776.920144497199	0.15460823030346127
180000	-6775.99231557524	163.0	-6777.271372517407	1.2790569421666298
181000	-6774.348533601699	164.0	-6774.798257238509	0.4497236368099031
182000	-6772.045338094088	165.0	-6772.764598612642	0.7192605185540533
183000	-6773.560202289809	166.0	-6774.635973418266	1.0757711284571734
184000	-6772.553948282568	167.0	-6773.589308498303	1.0353602157349036
185000	-6770.309867781709	168.0	-6771.6166632116165	1.3067954299075062
186000	-6773.214633708083	169.0	-6775.012075015461	1.79744130737798
187000	-6772.396875583352	170.0	-6773.566301788003	1.1694262046513764
188000	-6772.603735998379	171.0	-6773.61371542582	1.009979427440867
189000	-6776.940291747438	171.0	-6777.978335026289	1.0380432788508784
190000	-6772.842249879536	172.0	-6773.578385642776	0.7361357632397292
191000	-6773.750851862538	173.0	-6775.699434297001	1.9485824344626277
192000	-6773.830829939016	174.0	-6774.56285470828	0.7320247692635533
193000	-6774.242268472752	175.0	-6775.9898121455235	1.7475436727717222
194000	-6775.172561056159	176.0	-6776.523057975109	1.3504969189502454
195000	-6773.271659920945	177.0	-6774.1191762039425	0.8475162829970984
196000	-6772.073195944437	178.0	-6773.142613822814	1.0694178783772745
197000	-6772.978103325631	179.0	-6774.418028326837	1.439925001205781
198000	-6775.222495958539	180.0	-6775.84930742587	0.6268114673314571
199000	-6772.531283606027	180.0	-6773.481517298047	0.9502336920202072
200000	-6775.701648904724	181.0	-6777.5102990965315	1.8086501918081161
201000	-6772.942853348274	182.0	-6773.280758592326	0.337905244051528
202000	-6773.379882955856	183.0	-6774.559652737515	1.1797697816583899
203000	-6774.09633189833	184.0	-6775.272733071857	1.1764011735263153
204000	-6776.307052664204	185.0	-6777.824499215831	1.5174465516263496
205000	-6773.157249598351	186.0	-6774.811347079676	1.654097481324876
206000	-6773.080435097909	187.0	-6773.931080695131	0.8506455972217406
207000	-6777.600285719962	188.0	-6779.294575837717	1.6942901177556946
208000	-6779.262473464616	189.0	-6779.552076904254	0.28960343963780133
209000	-6777.115720396985	189.0	-6774.630243461723	-2.4854769352618877
210000	-6772.892468213304	190.0	-6772.626246876992	-0.2662213363122219
211000	-6774.314781621818	191.0	-6776.013717971372	1.6989363495541028
212000	-6776.270206798156	192.0	-6776.60872725711	0.33852045895408445
213000	-6777.625348406771	193.0	-6778.577762413017	0.952414006245637
214000	-6774.102207529108	194.0	-6774.603882251574	0.5016747224664515
215000	-6772.821893188986	195.0	-6772.685137117975	-0.1367560710116109
216000	-6775.418494064163	196.0	-6777.027086998843	1.608592934679848
217000	-6772.994208108068	197.0	-6774.783641353614	1.789433245546209
218000	-6774.476236158515	198.0	-6775.134052604381	0.6578164458662012
219000	-6773.5439418856895	198.0	-6772.563791641154	-0.9801502445355261
220000	-6773.205468456875	199.0	-6773.878257443052	0.6727889861767169
221000	-6771.771007788489	200.0	-6773.718447216907	1.947439428418182
222000	-6770.764064440869	201.0	-6771.960487661442	1.1964232205732355
223000	-6774.270333048708	202.0	-6774.48192121499	0.21158816628106525
224000	-6775.542073531401	203.0	-6774.1855916383765	-1.3564818930247888
225000	-6770.940130797606	204.0	-6772.376111729587	1.4359809319808639
226000	-6771.602897088267	205.0	-6773.549072154205	1.946175065937119
227000	-6776.802813313529	206.0	-6778.03727932175	1.2344660082204522
228000	-6778.718854101152	207.0	-6779.594269036319	0.8754149351675213
229000	-6772.627436869713	207.0	-6773.943731886863	1.3162950171497192
230000	-6777.806711974358	208.0	-6776.886568264831	-0.92014370952724
231000	-6780.105995133638	209.0	-6780.219587451063	0.11359231742459741
232000	-6773.37704620614	210.0	-6775.754506548641	2.3774603425006218
233000	-6775.852027929732	211.0	-6776.706762631544	0.8547347018119531
234000	-6774.128262902027	212.0	-6776.7201437035255	2.5918808014983954
235000	-6772.2437479460805	213.0	-6773.168381017104	0.9246330710236617
236000	-6772.387137887705	214.0	-6773.45047575123	1.0633378635256232
237000	-6772.21940040808	215.0	-6774.05479256482	1.8353921567391591
238000	-6772.167787450391	216.0	-6773.701294609128	1.5335071587373772
239000	-6775.728941660403	216.0	-6777.051399966589	1.3224583061866468
240000	-6774.599695471345	217.0	-6775.889982997962	1.2902875266172185
241000	-6772.414622015864	218.0	-6774.251619644236	1.8369976283718001
242000	-6770.846154868708	219.0	-6772.680599271341	1.8344444026326654
243000	-6770.14856038148	220.0	-6771.990725437592	1.8421650561120337
244000	-6775.000129548324	221.0	-6776.513241489909	1.5131119415844063
245000	-6776.800111782499	222.0	-6777.0329722621855	0.23286047968706391
246000	-6775.199923821339	223.0	-6776.1635134178105	0.9635895964709604
247000	-6778.042118595373	224.0	-6778.253693233678	0.21157463830549617
248000	-6772.29226844368	225.0	-6773.651499963456	1.3592315197763263
249000	-6772.383652895653	225.0	-6774.547179525533	2.163526629879608
250000	-6773.353845803367	226.0	-6774.237829216073	0.8839834127055424
251000	-6776.200762695293	227.0	-6776.964273019467	0.7635103241749608
252000	-6777.946158929482	228.0	-6779.269686539974	1.3235276104919178
253000	-6775.711172593868	229.0	-6776.130356211651	0.41918361778300994
254000	-6773.90791282279	230.0	-6775.97091728352	2.0630044607295623
255000	-6770.989694976059	231.0	-6772.496556630592	1.5068616545333269
256000	-6776.342414437849	232.0	-6776.036792781087	-0.3056216567618808
257000	-6773.867631977805	233.0	-6775.6127976449425	1.7451656671371758
258000	-6778.052425254731	234.0	-6780.067300760734	2.0148755060026877
259000	-6779.058464884002	172.4	-6780.732858073884	1.6743931898816395
260000	-6772.000768648197	235.0	-6773.827670589213	1.8269019410164447
261000	-6770.362461166135	236.0	-6771.310188168428	0.9477270022929014
262000	-6771.419584556847	237.0	-6772.567104430645	1.1475198737970462
263000	-6772.95199557332	238.0	-6773.043508744563	0.0915131712426085
264000	-6772.385394685902	190.3	-6773.993038382713	1.6076436968111487
265000	-6771.078778936264	187.0	-6771.786209706921	0.7074307706569982
